season,team,offensive_plays,offensive_epa,successful_plays,interceptions,fumbles_lost,offensive_turnovers,red_zone_trips,red_zone_td,EPA_per_play_off,Success_rate_off,Turnover_rate_off,RedZone_TD_pct_off,defensive_plays,defensive_epa_allowed,dropbacks_faced,pressures,takeaways,third_down_plays,third_down_stops,Def_EPA_per_play,Pressure_rate_def,Takeaway_rate_def,Third_down_stop_rate_def,third_down_attempts,third_down_conversions,penalties,penalty_yards,Third_down_conv_pct,games_played,close_games,close_game_wins,Close_game_win_pct,Penalty_yards_per_game,qb_epa,qb_dropbacks,qb_turnovers,sacks_taken,pressures_faced,QB_EPA_per_play,QB_turnover_rate,Pressure_to_sack_rate
2005,ARI,1071,-75.76657884061481,438,21.0,14.0,35.0,51,18,-0.07074377109301103,0.40896358543417366,0.032679738562091505,0.35294117647058826,927,-57.94798570646321,527,37,26,197,129,-0.06251131144170788,0.07020872865275142,0.028047464940668825,0.6548223350253807,238,93,20.0,226.0,0.3907563025210084,16.0,8.0,2.0,0.25,14.125,31.585649988670724,397,14,23.0,23,0.0795608312057197,0.03526448362720403,1.0
2005,ATL,1007,-17.96294451113971,411,13.0,12.0,25.0,53,30,-0.017838077965382036,0.40814299900695133,0.024826216484607744,0.5660377358490566,989,-25.373698091322,561,37,29,192,134,-0.02565591313581598,0.0659536541889483,0.029322548028311426,0.6979166666666666,215,96,20.0,211.0,0.44651162790697674,16.0,9.0,4.0,0.4444444444444444,13.1875,-32.17191922540218,422,20,34.0,34,-0.07623677541564497,0.04739336492890995,1.0
2005,BAL,1046,-112.57634378690229,404,21.0,14.0,35.0,42,16,-0.10762556767390276,0.3862332695984704,0.033460803059273424,0.38095238095238093,975,-107.7400193362403,563,42,24,218,135,-0.11050258393460544,0.07460035523978685,0.024615384615384615,0.6192660550458715,242,96,16.0,175.0,0.39669421487603307,16.0,7.0,3.0,0.42857142857142855,10.9375,-15.014542283215919,315,14,23.0,23,-0.04766521359751085,0.044444444444444446,1.0
2005,BUF,918,-93.10731024780677,348,16.0,9.0,25.0,49,17,-0.10142408523726228,0.3790849673202614,0.027233115468409588,0.3469387755102041,1018,67.5766102327623,538,38,29,200,106,0.06638173893198655,0.07063197026022305,0.02848722986247544,0.53,201,74,20.0,192.0,0.3681592039800995,16.0,6.0,1.0,0.16666666666666666,12.0,-45.742527345983405,250,10,25.0,25,-0.18297010938393363,0.04,1.0
2005,CAR,1127,-7.690046729507852,459,20.0,9.0,29.0,58,34,-0.0068234664858099845,0.4072759538598048,0.025732031943212066,0.5862068965517241,1164,-139.57839582365133,669,51,42,259,155,-0.11991271118870389,0.07623318385650224,0.03608247422680412,0.5984555984555985,251,106,22.0,247.0,0.42231075697211157,19.0,8.0,5.0,0.625,13.0,40.878087794074744,559,29,33.0,33,0.07312716957795125,0.0518783542039356,1.0
2005,CHI,994,-146.352015382546,357,16.0,11.0,27.0,47,22,-0.1472354279502475,0.3591549295774648,0.02716297786720322,0.46808510638297873,1078,-165.0752358992343,623,41,32,247,164,-0.15313101660411343,0.06581059390048154,0.029684601113172542,0.6639676113360324,227,66,13.0,103.0,0.2907488986784141,17.0,8.0,6.0,0.75,6.0588235294117645,-103.21766779262404,398,18,30.0,30,-0.25934087385081417,0.04522613065326633,1.0
2005,CIN,1068,110.4779679102221,506,16.0,6.0,22.0,63,37,0.10344379017811059,0.4737827715355805,0.020599250936329586,0.5873015873015873,1010,23.14831852016804,566,30,42,196,107,0.02291912724769113,0.053003533568904596,0.041584158415841586,0.5459183673469388,209,94,15.0,194.0,0.44976076555023925,17.0,7.0,5.0,0.7142857142857143,11.411764705882353,108.9299693118428,531,18,20.0,20,0.20514118514471336,0.03389830508474576,1.0
2005,CLE,927,-129.01006938612514,365,18.0,12.0,30.0,40,11,-0.1391694383884845,0.39374325782092773,0.032362459546925564,0.275,1000,-3.050856919859819,492,25,21,213,126,-0.003050856919859819,0.0508130081300813,0.021,0.5915492957746479,202,69,14.0,159.0,0.3415841584158416,16.0,9.0,4.0,0.4444444444444444,9.9375,-29.307533926628484,355,17,23.0,23,-0.08255643359613657,0.04788732394366197,1.0
2005,DAL,1061,-37.148453903154454,419,17.0,13.0,30.0,54,29,-0.03501268039882607,0.39491046182846373,0.02827521206409048,0.5370370370370371,940,-46.55384357598349,531,37,25,210,137,-0.04952536550636542,0.0696798493408663,0.026595744680851064,0.6523809523809524,231,99,21.0,216.0,0.42857142857142855,16.0,11.0,6.0,0.5454545454545454,13.5,30.288787252151913,545,24,49.0,49,0.055575756425966814,0.044036697247706424,1.0
2005,DEN,1125,90.60950077629349,498,10.0,10.0,20.0,61,41,0.08054177846781643,0.44266666666666665,0.017777777777777778,0.6721311475409836,1104,-50.30675838817969,708,31,35,233,143,-0.04556771593132218,0.043785310734463276,0.03170289855072464,0.6137339055793991,231,87,19.0,161.0,0.37662337662337664,18.0,7.0,5.0,0.7142857142857143,8.944444444444445,42.44017478069439,540,17,28.0,28,0.07859291626054517,0.03148148148148148,1.0
